step,loss
0,8.443241e-05
10,8.675244e-05
20,7.738445e-05
30,5.6935984e-05
40,5.870505e-05
50,8.28498e-05
60,5.294208e-05
70,9.8522e-05
80,9.5864285e-05
90,8.2688086e-05
100,5.6822646e-05
110,7.01903e-05
120,6.0810944e-05
130,7.428149e-05
140,7.98446e-05
150,7.393069e-05
160,8.3862185e-05
170,0.00010012859
180,8.171858e-05
190,5.722545e-05
200,9.172242e-05
210,6.157883e-05
220,7.777643e-05
230,6.8719644e-05
240,7.410547e-05
250,6.6405264e-05
260,7.9124664e-05
270,7.0782866e-05
280,4.7499285e-05
290,6.520654e-05
300,6.6238106e-05
310,9.488867e-05
320,8.349258e-05
330,7.447628e-05
340,5.4124655e-05
350,6.0379967e-05
360,8.6786735e-05
370,6.901693e-05
380,7.630267e-05
390,6.2409665e-05
400,6.7815185e-05
410,6.1471546e-05
420,5.0116214e-05
430,7.9613805e-05
440,6.530441e-05
450,6.583573e-05
460,9.845538e-05
470,7.581849e-05
480,6.06865e-05
490,8.081826e-05
500,8.3807405e-05
510,8.581373e-05
520,7.6039614e-05
530,6.01799e-05
540,7.624505e-05
550,8.511375e-05
560,5.278689e-05
570,6.595897e-05
580,5.3978285e-05
590,8.188265e-05
600,7.384487e-05
610,9.001789e-05
620,6.8542504e-05
630,5.1375002e-05
640,6.895251e-05
650,8.178108e-05
660,6.156669e-05
670,8.703084e-05
680,7.0045e-05
690,8.895936e-05
700,6.0445844e-05
710,7.343706e-05
720,5.3436524e-05
730,9.688579e-05
740,6.353251e-05
750,7.005484e-05
760,6.0520517e-05
770,5.7763686e-05
780,7.200389e-05
790,7.890044e-05
800,5.6722583e-05
810,7.152647e-05
820,6.371325e-05
830,7.928892e-05
840,7.786917e-05
850,5.9340073e-05
860,5.3338463e-05
870,7.270431e-05
880,6.1042316e-05
890,7.03729e-05
900,8.184153e-05
910,7.860303e-05
920,6.515011e-05
930,6.3368294e-05
940,6.2647865e-05
950,6.556487e-05
960,5.4243686e-05
970,7.230929e-05
980,4.7053767e-05
990,5.183853e-05
1000,5.80428e-05
1010,7.367904e-05
1020,5.41829e-05
1030,3.901242e-05
1040,6.835008e-05
1050,6.4330576e-05
1060,6.319365e-05
1070,7.36983e-05
1080,6.736837e-05
1090,7.207918e-05
1100,6.249685e-05
1110,4.443234e-05
1120,6.582993e-05
1130,6.0435723e-05
1140,6.866518e-05
1150,6.371809e-05
1160,4.6568653e-05
1170,6.932585e-05
1180,7.32172e-05
1190,6.121478e-05
1200,7.365055e-05
1210,4.905809e-05
1220,8.354083e-05
1230,6.323515e-05
1240,5.312867e-05
1250,5.9705988e-05
1260,6.215244e-05
1270,4.6019282e-05
1280,6.035908e-05
1290,5.7773435e-05
1300,7.138709e-05
1310,6.495262e-05
1320,5.5744065e-05
1330,5.386084e-05
1340,5.8307887e-05
1350,7.135343e-05
1360,5.4658147e-05
1370,6.0683848e-05
1380,5.0491068e-05
1390,6.7299894e-05
1400,9.551525e-05
1410,6.353552e-05
1420,6.0464918e-05
1430,6.578097e-05
1440,6.593597e-05
1450,5.18782e-05
1460,4.4113185e-05
1470,5.022345e-05
1480,6.168686e-05
1490,4.9775626e-05
1500,7.177608e-05
1510,7.470784e-05
1520,4.6877652e-05
1530,3.8958155e-05
1540,5.9439928e-05
1550,5.3418018e-05
1560,6.5852735e-05
1570,4.9122184e-05
1580,4.7754063e-05
1590,3.927369e-05
1600,5.8383295e-05
1610,7.469775e-05
1620,6.1864725e-05
1630,4.6671677e-05
1640,4.1986335e-05
1650,5.3874373e-05
1660,4.490043e-05
1670,6.196222e-05
1680,7.494343e-05
1690,7.03292e-05
1700,5.2198156e-05
1710,5.3220014e-05
1720,5.4342883e-05
1730,6.284779e-05
1740,5.15041e-05
1750,5.7065507e-05
1760,5.6196714e-05
1770,5.132318e-05
1780,4.036272e-05
1790,4.4615736e-05
1800,5.7710782e-05
1810,4.8248694e-05
1820,6.36187e-05
1830,5.722872e-05
1840,5.206727e-05
1850,6.616408e-05
1860,5.092547e-05
1870,6.5360466e-05
1880,6.368781e-05
1890,5.7676676e-05
1900,4.8227394e-05
1910,3.1270065e-05
1920,5.679478e-05
1930,6.0041315e-05
1940,5.8735077e-05
1950,5.868509e-05
1960,5.116578e-05
1970,4.985757e-05
1980,4.167272e-05
1990,4.845944e-05
2000,4.389679e-05
2010,5.0925988e-05
2020,4.341977e-05
2030,4.557346e-05
2040,5.3089294e-05
2050,4.7122296e-05
2060,6.226422e-05
2070,5.275038e-05
2080,5.7117784e-05
2090,5.0277296e-05
2100,4.4720065e-05
2110,4.459611e-05
2120,5.5036147e-05
2130,4.7369187e-05
2140,5.039981e-05
2150,4.5748562e-05
2160,4.865041e-05
2170,5.28271e-05
2180,5.9337322e-05
2190,3.24289e-05
2200,4.7134094e-05
2210,4.208805e-05
2220,5.769925e-05
2230,6.283585e-05
2240,4.2575826e-05
2250,4.2463016e-05
2260,6.440843e-05
2270,5.3896536e-05
2280,4.1283653e-05
2290,4.099365e-05
2300,5.9728412e-05
2310,4.0646017e-05
2320,4.76389e-05
2330,4.8711492e-05
2340,4.8054666e-05
2350,6.21667e-05
2360,4.710333e-05
2370,5.240234e-05
2380,5.2766653e-05
2390,4.850423e-05
2400,3.8806647e-05
2410,3.9774764e-05
2420,4.3007043e-05
2430,6.706165e-05
2440,3.7794944e-05
2450,4.63108e-05
2460,6.3320855e-05
2470,6.1399485e-05
2480,3.6769983e-05
2490,4.8348535e-05
2500,3.8344224e-05
2510,4.1988766e-05
2520,4.1706382e-05
2530,2.8858618e-05
2540,4.6348407e-05
2550,5.1676812e-05
2560,3.87687e-05
2570,4.6306566e-05
2580,6.215418e-05
2590,4.5872097e-05
2600,5.038451e-05
2610,3.9403716e-05
2620,6.668723e-05
2630,6.848594e-05
2640,5.0977604e-05
2650,4.8432863e-05
2660,3.7616133e-05
2670,4.2928183e-05
2680,4.5313867e-05
2690,4.7860733e-05
2700,3.8803093e-05
2710,5.468109e-05
2720,5.1345563e-05
2730,5.113547e-05
2740,3.524681e-05
2750,4.883927e-05
2760,4.4180524e-05
2770,4.501679e-05
2780,4.631005e-05
2790,4.9793092e-05
2800,5.8834044e-05
2810,4.8921185e-05
2820,5.1251594e-05
2830,4.353248e-05
2840,4.4131677e-05
2850,6.1989595e-05
2860,4.7785805e-05
2870,4.0994586e-05
2880,4.2701475e-05
2890,5.2409872e-05
2900,4.448743e-05
2910,4.824552e-05
2920,3.487519e-05
2930,3.677764e-05
2940,4.418863e-05
2950,4.937383e-05
2960,4.636895e-05
2970,4.6585094e-05
2980,4.3400378e-05
2990,5.1313447e-05
3000,4.8959635e-05
3010,4.141891e-05
