step,loss
0,3.340987e-05
10,3.3708602e-05
20,2.288836e-05
30,3.605096e-05
40,3.061043e-05
50,3.0070074e-05
60,3.292392e-05
70,3.5020334e-05
80,3.4357192e-05
90,3.4045483e-05
100,3.4509063e-05
110,3.109536e-05
120,3.1669126e-05
130,2.6188773e-05
140,2.7844802e-05
150,2.8053173e-05
160,3.3692526e-05
170,4.4528533e-05
180,2.9864768e-05
190,2.8758655e-05
200,3.082325e-05
210,2.7040993e-05
220,2.7731712e-05
230,3.980687e-05
240,3.7019112e-05
250,2.9483166e-05
260,3.2102154e-05
270,2.3860453e-05
280,3.1488522e-05
290,3.383704e-05
300,3.3754994e-05
310,2.7493168e-05
320,2.5045432e-05
330,3.427576e-05
340,2.3256685e-05
350,3.07361e-05
360,3.3057706e-05
370,2.9333303e-05
380,2.6427855e-05
390,3.6694557e-05
400,2.6489846e-05
410,3.518368e-05
420,2.7573898e-05
430,2.5261561e-05
440,3.145335e-05
450,2.8453196e-05
460,2.4632192e-05
470,2.9425817e-05
480,3.1003372e-05
490,2.5423238e-05
500,3.0683845e-05
510,3.7048812e-05
520,2.6617552e-05
530,3.735606e-05
540,2.9533961e-05
