step,loss
0,9.406481e-06
10,1.2619186e-05
20,1.2679956e-05
30,1.0814829e-05
40,1.1891951e-05
50,1.2535337e-05
60,1.2433593e-05
70,1.0287934e-05
80,1.0213927e-05
90,1.2908321e-05
100,1.1482301e-05
110,1.2103448e-05
120,1.4201996e-05
130,1.1570085e-05
140,1.4168312e-05
150,9.637369e-06
160,6.741358e-06
170,1.1878631e-05
180,7.862046e-06
190,8.352171e-06
200,1.280571e-05
210,1.0341292e-05
220,6.7684605e-06
230,8.947583e-06
240,1.195219e-05
250,9.155573e-06
260,1.5263431e-05
270,1.3164992e-05
280,1.3278029e-05
290,1.2393995e-05
300,1.228543e-05
310,1.1313014e-05
320,1.1596248e-05
330,1.5272202e-05
340,1.643284e-05
350,1.1430536e-05
360,1.1841189e-05
370,1.0679919e-05
380,1.2036163e-05
390,7.1953455e-06
400,1.1867387e-05
410,7.7307195e-06
420,1.1943995e-05
430,1.085189e-05
440,1.01392925e-05
450,1.2329555e-05
460,1.4069847e-05
470,1.3168633e-05
480,9.992656e-06
490,8.583153e-06
500,1.3020384e-05
510,1.0057292e-05
520,1.1209875e-05
530,1.36869985e-05
540,1.2447047e-05
