step,loss
0,2.9086677e-05
10,3.10578e-05
20,3.0410001e-05
30,2.7050984e-05
40,3.5592162e-05
50,2.6865458e-05
60,2.5029438e-05
70,2.4140418e-05
80,3.3005585e-05
90,3.1550993e-05
100,2.7145275e-05
110,3.0335492e-05
120,3.603349e-05
130,3.4176483e-05
140,2.5272144e-05
150,2.169267e-05
160,2.148107e-05
170,3.199875e-05
180,2.989539e-05
190,2.7765402e-05
200,2.6771724e-05
210,2.9224255e-05
220,2.7518225e-05
230,2.5961552e-05
240,2.8651913e-05
250,3.1917094e-05
260,2.3793355e-05
270,2.1844853e-05
280,2.111309e-05
290,2.9045874e-05
300,3.4425702e-05
310,3.0636947e-05
320,3.3848515e-05
330,2.5364496e-05
340,2.0406926e-05
350,2.4957735e-05
360,3.9510887e-05
370,2.777435e-05
380,2.7848151e-05
390,3.3412685e-05
400,2.7089618e-05
410,2.204444e-05
420,3.0382846e-05
430,1.9724861e-05
440,2.1205673e-05
450,2.489924e-05
460,2.5685185e-05
470,2.2379643e-05
480,2.400665e-05
490,2.7237324e-05
500,2.732933e-05
510,2.1628535e-05
520,3.0222967e-05
530,2.505974e-05
540,3.062431e-05
